,# of reads across cell
0,"5256,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
1,"12763,2567,1245,176,21,16,6,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
2,1
3,"3143,1,1,1,1,1,1,1,1,1,1"
4,"4376,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
5,"3088,32,1,1,1,1"
6,"33,1,1,1,1,1"
7,"7362,500,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
8,"6383,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
9,"70,9,9"
10,82
11,7
12,3
13,108
